Attaching to ozoneperf_grafana_1, ozoneperf_datanode_3, ozoneperf_scm_1, ozoneperf_s3g_1, ozoneperf_datanode_1, ozoneperf_datanode_2, ozoneperf_om_1, ozoneperf_jaeger_1, ozoneperf_prometheus_1
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Starting Grafana" logger=server version=6.4.4 commit=092e514 branch=HEAD compiled=2019-11-06T12:04:33+0000
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config loaded from" logger=settings file=/usr/share/grafana/conf/defaults.ini
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config loaded from" logger=settings file=/etc/grafana/grafana.ini
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config overridden from command line" logger=settings arg="default.paths.data=/var/lib/grafana"
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config overridden from command line" logger=settings arg="default.paths.logs=/var/log/grafana"
s3g_1         | 2019-11-13 14:22:53,315 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
s3g_1         | 2019-11-13 14:22:53,342 INFO util.log: Logging initialized @1442ms
s3g_1         | 2019-11-13 14:22:53,455 INFO server.AuthenticationFilter: Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
s3g_1         | 2019-11-13 14:22:53,479 INFO http.HttpRequestLog: Http request log for http.requests.s3gateway is not defined
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config overridden from command line" logger=settings arg="default.paths.plugins=/var/lib/grafana/plugins"
s3g_1         | 2019-11-13 14:22:53,488 INFO http.HttpServer2: Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config overridden from command line" logger=settings arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config overridden from command line" logger=settings arg="default.log.mode=console"
datanode_3    | 2019-11-13 14:22:54,929 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
s3g_1         | 2019-11-13 14:22:53,491 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context s3gateway
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config overridden from Environment variable" logger=settings var="GF_PATHS_DATA=/var/lib/grafana"
datanode_3    | /************************************************************
datanode_2    | 2019-11-13 14:22:53,358 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
om_1          | 2019-11-13 14:22:52,387 INFO om.OzoneManagerStarter: STARTUP_MSG: 
s3g_1         | 2019-11-13 14:22:53,491 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
grafana_1     | t=2019-11-13T14:22:53+0000 lvl=info msg="Config overridden from Environment variable" logger=settings var="GF_PATHS_LOGS=/var/log/grafana"
scm_1         | 2019-11-13 14:22:53,002 INFO server.StorageContainerManagerStarter: STARTUP_MSG: 
datanode_1    | 2019-11-13 14:22:53,612 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
datanode_2    | /************************************************************
om_1          | /************************************************************
s3g_1         | 2019-11-13 14:22:53,491 INFO http.HttpServer2: Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
