Attaching to ozone_datanode_2, ozone_datanode_3, ozone_datanode_1, ozone_om_1, ozone_scm_1
datanode_2  | To use Ozone please mount ozone folder to /opt/hadoop
datanode_2  | WARNING: log4j.properties is not found. HADOOP_CONF_DIR may be incomplete.
datanode_2  | log4j:WARN No appenders could be found for logger (org.apache.hadoop.util.Shell).
datanode_2  | log4j:WARN Please initialize the log4j system properly.
om_1        | To use Ozone please mount ozone folder to /opt/hadoop
datanode_3  | To use Ozone please mount ozone folder to /opt/hadoop
datanode_1  | To use Ozone please mount ozone folder to /opt/hadoop
datanode_2  | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
om_1        | WARNING: log4j.properties is not found. HADOOP_CONF_DIR may be incomplete.
datanode_3  | WARNING: log4j.properties is not found. HADOOP_CONF_DIR may be incomplete.
datanode_1  | WARNING: log4j.properties is not found. HADOOP_CONF_DIR may be incomplete.
datanode_3  | log4j:WARN No appenders could be found for logger (org.apache.hadoop.util.Shell).
om_1        | Ozone Manager classpath extended by 
datanode_1  | log4j:WARN No appenders could be found for logger (org.apache.hadoop.util.Shell).
scm_1       | To use Ozone please mount ozone folder to /opt/hadoop
datanode_3  | log4j:WARN Please initialize the log4j system properly.
om_1        | log4j:WARN No appenders could be found for logger (io.jaegertracing.thrift.internal.senders.ThriftSenderFactory).
datanode_1  | log4j:WARN Please initialize the log4j system properly.
scm_1       | WARNING: log4j.properties is not found. HADOOP_CONF_DIR may be incomplete.
datanode_3  | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
om_1        | log4j:WARN Please initialize the log4j system properly.
datanode_1  | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
scm_1       | log4j:WARN No appenders could be found for logger (io.jaegertracing.thrift.internal.senders.ThriftSenderFactory).
om_1        | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
scm_1       | log4j:WARN Please initialize the log4j system properly.
om_1        | ERROR StatusLogger File not found in file system or classpath: /etc/hadoop/om-audit-log4j2.properties
scm_1       | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
om_1        | ERROR StatusLogger Reconfiguration failed: No configuration found for '8bcc55f' at 'null' in 'null'
scm_1       | SCM cannot be started in secure mode or when ozone.enabled is set to false
om_1        | ozone.metadata.dirs must be defined.
