Attaching to hadoop31_nm_1, hadoop31_scm_1, hadoop31_datanode_2, hadoop31_datanode_3, hadoop31_om_1, hadoop31_s3g_1, hadoop31_rm_1, hadoop31_datanode_1
nm_1        | Flokkr launcher script 1.1-7-gef45e4c
nm_1        | 
nm_1        | ===== Plugin is activated ENVTOCONF =====
nm_1        | yarn-site.xml
datanode_2  | 2019-10-31 23:17:30,026 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
nm_1        | File yarn-site.xml has been written out successfullly.
datanode_2  | /************************************************************
nm_1        | capacity-scheduler.xml
om_1        | Waiting for the service scm:9876
datanode_2  | STARTUP_MSG: Starting HddsDatanodeService
nm_1        | File capacity-scheduler.xml has been written out successfullly.
scm_1       | 2019-10-31 23:17:27,859 INFO server.StorageContainerManagerStarter: STARTUP_MSG: 
om_1        | 2019-10-31 23:17:32,985 INFO om.OzoneManagerStarter: STARTUP_MSG: 
datanode_2  | STARTUP_MSG:   host = ad1c2cc9ec51/172.18.0.7
nm_1        | ozone-site.xml
scm_1       | /************************************************************
om_1        | /************************************************************
datanode_2  | STARTUP_MSG:   args = []
nm_1        | File ozone-site.xml has been written out successfullly.
scm_1       | STARTUP_MSG: Starting StorageContainerManager
om_1        | STARTUP_MSG: Starting OzoneManager
datanode_2  | STARTUP_MSG:   version = 3.2.0
s3g_1       | 2019-10-31 23:17:27,810 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
nm_1        | hdfs-site.xml
scm_1       | STARTUP_MSG:   host = scm/172.18.0.8
om_1        | STARTUP_MSG:   host = om/172.18.0.5
s3g_1       | 2019-10-31 23:17:27,850 INFO util.log: Logging initialized @954ms
nm_1        | File hdfs-site.xml has been written out successfullly.
scm_1       | STARTUP_MSG:   args = [--init]
rm_1        | Flokkr launcher script 1.1-7-gef45e4c
om_1        | STARTUP_MSG:   args = [--init]
datanode_1  | 2019-10-31 23:17:27,277 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
