Attaching to ozones3_datanode_3, ozones3_datanode_2, ozones3_om_1, ozones3_s3g_1, ozones3_datanode_1, ozones3_scm_1
datanode_3  | 2019-11-01 00:19:56,425 INFO ozone.HddsDatanodeService: STARTUP_MSG: 
datanode_3  | /************************************************************
datanode_3  | STARTUP_MSG: Starting HddsDatanodeService
datanode_3  | STARTUP_MSG:   host = 8ce60240c1c8/172.18.0.6
datanode_3  | STARTUP_MSG:   args = []
s3g_1       | 2019-11-01 00:19:56,719 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
om_1        | 2019-11-01 00:19:57,568 INFO om.OzoneManagerStarter: STARTUP_MSG: 
datanode_3  | STARTUP_MSG:   version = 3.2.0
s3g_1       | 2019-11-01 00:19:56,754 INFO util.log: Logging initialized @1116ms
om_1        | /************************************************************
scm_1       | 2019-11-01 00:19:56,517 INFO server.StorageContainerManagerStarter: STARTUP_MSG: 
