Attaching to ozones3-haproxy_datanode_3, ozones3-haproxy_s3g_1, ozones3-haproxy_s3g3_1, ozones3-haproxy_datanode_2, ozones3-haproxy_datanode_1, ozones3-haproxy_s3g2_1, ozones3-haproxy_s3g1_1, ozones3-haproxy_om_1, ozones3-haproxy_scm_1
s3g_1       | [NOTICE] 298/033015 (1) : New worker #1 (8) forked
datanode_3  | 2019-10-26 03:30:15,293 [main] INFO       - STARTUP_MSG: 
datanode_3  | /************************************************************
datanode_3  | STARTUP_MSG: Starting HddsDatanodeService
s3g3_1      | 2019-10-26 03:30:16,725 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
datanode_3  | STARTUP_MSG:   host = 44daca38ece3/172.18.0.9
s3g3_1      | 2019-10-26 03:30:16,761 INFO util.log: Logging initialized @1338ms
om_1        | Ozone Manager classpath extended by 
datanode_2  | 2019-10-26 03:30:15,294 [main] INFO       - STARTUP_MSG: 
datanode_3  | STARTUP_MSG:   args = []
s3g3_1      | 2019-10-26 03:30:16,866 INFO server.AuthenticationFilter: Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
datanode_1  | 2019-10-26 03:30:13,979 [main] INFO       - STARTUP_MSG: 
s3g2_1      | 2019-10-26 03:30:15,590 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
om_1        | 2019-10-26 03:30:13,774 [main] INFO       - STARTUP_MSG: 
s3g1_1      | 2019-10-26 03:30:14,177 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
datanode_2  | /************************************************************
datanode_3  | STARTUP_MSG:   version = 3.2.0
s3g3_1      | 2019-10-26 03:30:16,917 INFO http.HttpRequestLog: Http request log for http.requests.s3gateway is not defined
datanode_1  | /************************************************************
om_1        | /************************************************************
s3g2_1      | 2019-10-26 03:30:15,616 INFO util.log: Logging initialized @1147ms
s3g1_1      | 2019-10-26 03:30:14,203 INFO util.log: Logging initialized @963ms
datanode_2  | STARTUP_MSG: Starting HddsDatanodeService
